,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,202692,2011-12,00,1610612762,UTA,20.0,59,0,15.9,2.6,6.1,0.429,0.3,0.8,0.333,1.8,2.4,0.727,1.0,1.3,2.2,0.9,0.5,0.1,0.9,1.4,7.2
1,202692,2012-13,00,1610612762,UTA,21.0,64,0,17.8,2.5,6.1,0.42,0.5,1.4,0.359,1.4,2.0,0.713,0.6,1.7,2.3,1.4,0.5,0.2,1.2,1.8,7.0
2,202692,2013-14,00,1610612762,UTA,22.0,78,12,28.1,4.9,10.7,0.457,0.6,1.8,0.35,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14.0
3,202692,2014-15,00,1610612762,UTA,23.0,27,27,33.3,4.5,11.1,0.403,1.0,2.5,0.382,3.9,4.8,0.822,0.7,3.5,4.2,3.0,0.6,0.2,1.9,2.4,13.9
4,202692,2015-16,00,1610612762,UTA,24.0,31,3,25.7,4.4,10.8,0.41,1.0,2.5,0.405,3.4,4.5,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3
5,202692,2016-17,00,1610612762,UTA,25.0,42,0,15.5,2.4,5.9,0.399,0.6,1.8,0.329,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7
6,202692,2017-18,00,1610612762,UTA,26.0,64,1,16.5,2.7,6.5,0.411,0.7,2.2,0.331,1.7,1.9,0.863,0.3,2.7,3.0,1.0,0.6,0.1,0.9,1.2,7.7
7,202692,2018-19,00,1610612762,UTA,27.0,17,0,15.8,2.8,6.7,0.412,0.9,2.5,0.372,1.9,2.2,0.868,0.1,1.5,1.6,1.2,0.4,0.2,0.9,1.3,8.4
8,202692,2018-19,00,1610612739,CLE,27.0,34,24,28.8,4.0,10.0,0.4,1.3,3.5,0.378,2.3,2.9,0.806,0.8,4.7,5.5,2.9,0.7,0.5,1.4,1.8,11.6
9,202692,2018-19,00,1610612758,SAC,27.0,13,0,9.8,0.7,1.5,0.45,0.0,0.5,0.0,0.3,0.4,0.8,0.2,1.5,1.7,0.8,0.6,0.1,0.3,0.5,1.7
10,202692,2018-19,00,0,TOT,27.0,64,24,21.5,3.0,7.4,0.405,1.0,2.6,0.363,1.8,2.2,0.823,0.5,3.2,3.7,2.0,0.6,0.3,1.0,1.4,8.8
11,202692,2019-20,00,1610612744,GSW,28.0,48,18,29.0,5.1,12.5,0.406,1.8,4.7,0.375,4.2,4.7,0.897,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2,16.1
12,202692,2019-20,00,1610612755,PHI,28.0,18,1,20.2,4.3,9.3,0.461,1.8,4.3,0.416,1.9,2.3,0.829,0.6,2.5,3.1,2.1,0.7,0.0,0.8,1.2,12.2
13,202692,2019-20,00,0,TOT,28.0,66,19,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.6,4.0,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0
14,202692,2020-21,00,1610612752,NYK,29.0,49,5,25.6,4.3,10.2,0.42,2.1,5.0,0.415,2.1,2.4,0.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7
15,202692,2021-22,00,1610612752,NYK,30.0,81,44,28.6,3.5,9.0,0.391,1.9,4.8,0.404,2.7,3.3,0.822,0.6,4.3,4.9,3.0,1.0,0.3,1.1,2.7,11.7
16,202692,2022-23,00,1610612765,DET,31.0,51,8,22.0,3.9,9.0,0.436,1.9,4.7,0.414,3.0,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8
17,202692,2023-24,00,1610612765,DET,32.0,43,0,21.0,3.7,9.4,0.394,2.3,5.7,0.401,2.8,3.1,0.903,0.4,2.2,2.6,1.6,0.5,0.3,0.7,1.5,12.6
18,202692,2023-24,00,1610612752,NYK,32.0,23,1,13.5,2.2,7.1,0.307,1.1,3.6,0.301,1.0,1.4,0.727,0.3,1.4,1.7,0.9,0.3,0.0,0.7,0.5,6.5
19,202692,2023-24,00,0,TOT,32.0,66,1,18.4,3.2,8.6,0.369,1.9,5.0,0.376,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4
20,202692,2024-25,00,1610612748,MIA,33.0,49,14,17.6,2.3,5.5,0.424,1.8,4.2,0.425,0.8,1.0,0.776,0.3,2.2,2.5,1.1,0.6,0.1,0.6,0.8,7.3
0,1630215,2021-22,00,1610612762,UTA,21.0,42,1,8.6,1.5,3.6,0.404,0.7,2.1,0.318,0.3,0.4,0.688,0.1,1.0,1.1,1.5,0.4,0.2,0.8,1.1,3.8
1,1630215,2022-23,00,1610612760,OKC,22.0,6,1,12.8,2.5,5.3,0.469,1.2,2.3,0.5,0.0,0.0,0.0,0.2,0.5,0.7,1.3,0.8,0.0,0.8,0.8,6.2
2,1630215,2023-24,00,1610612764,WAS,23.0,40,0,14.2,2.5,5.0,0.488,0.6,2.0,0.308,0.8,0.9,0.861,0.2,1.2,1.5,3.2,0.7,0.2,1.3,1.5,6.3
3,1630215,2024-25,00,1610612764,WAS,24.0,32,0,11.3,2.7,5.5,0.483,0.5,1.3,0.366,1.1,1.4,0.778,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,6.9
4,1630215,2024-25,00,1610612755,PHI,24.0,28,17,24.4,4.2,9.9,0.426,1.6,4.6,0.352,1.4,1.6,0.87,0.4,2.1,2.5,4.9,1.1,0.3,1.8,2.0,11.5
