PLAYER_ID,GP,REB,AST,STL,BLK,TOV,PTS,FG_PCT,3_PCT,FT_PCT,PLAYER_NAME
1630165,216,2.9,5.2,1.2,0.4,2.0,8.1,0.383,0.281,0.777,Killian Hayes
1630703,128,3.1,5.2,0.9,0.2,3.0,13.3,0.401,0.34,0.793,Scoot Henderson
1641707,49,4.6,0.7,0.7,0.7,0.7,6.9,0.437,0.366,0.78,Taylor Hendricks
1629639,361,5.0,4.0,0.7,0.2,2.2,19.4,0.448,0.382,0.874,Tyler Herro
1627741,968,4.0,2.5,0.8,0.3,1.6,14.4,0.43,0.392,0.86,Buddy Hield
1629312,218,3.1,1.1,0.7,0.4,0.6,5.4,0.449,0.374,0.605,Haywood Highsmith
1628988,513,1.6,2.1,0.6,0.2,0.9,6.4,0.424,0.382,0.854,Aaron Holiday
201950,1043,4.2,6.2,1.4,0.5,2.6,15.8,0.462,0.37,0.788,Jrue Holiday
1641842,87,2.7,1.1,0.7,0.2,1.0,6.7,0.47,0.247,0.763,Ronald Holland II
1626158,529,5.3,1.0,0.5,0.9,0.8,8.2,0.603,0.27,0.75,Richaun Holmes
1631096,118,8.0,2.3,0.7,2.3,1.7,16.3,0.521,0.374,0.785,Chet Holmgren
1641720,51,1.3,1.6,0.3,0.3,0.9,4.8,0.349,0.28,0.774,Jalen Hood-Schifino
201143,1143,7.8,3.2,0.8,1.1,1.4,12.9,0.509,0.376,0.763,Al Horford
1629659,305,2.6,2.8,0.8,0.4,1.4,9.2,0.427,0.299,0.771,Talen Horton-Tucker
1631216,170,1.5,0.6,0.3,0.1,0.3,4.0,0.391,0.372,0.836,Caleb Houstan
1641724,83,1.0,0.6,0.2,0.2,0.5,3.6,0.367,0.294,0.667,Jett Howard
1628989,557,3.4,2.8,0.9,0.4,1.2,11.4,0.44,0.37,0.76,Kevin Huerter
1630643,101,1.8,0.5,0.2,0.7,0.4,5.3,0.509,0.389,0.833,Jay Huff
1630574,28,2.2,0.5,0.1,0.6,0.8,1.8,0.629,,0.462,Ariel Hukporti
1629631,396,4.1,1.5,0.7,0.3,1.4,15.2,0.454,0.377,0.825,De'Andre Hunter
1630538,272,2.1,2.6,0.7,0.2,1.3,9.6,0.399,0.367,0.847,Bones Hyland
1642345,68,3.6,1.2,0.4,0.5,0.8,4.3,0.589,0.0,0.569,Oso Ighodaro
204060,725,3.0,3.6,0.9,0.1,1.5,7.9,0.447,0.409,0.774,Joe Ingles
1627742,502,5.2,4.3,0.7,0.6,2.6,19.5,0.469,0.364,0.788,Brandon Ingram
1631127,8,1.5,0.4,0.4,0.0,0.1,1.1,0.571,0.5,,Harrison Ingram
202681,839,4.1,5.6,1.3,0.5,2.5,23.9,0.476,0.392,0.889,Kyrie Irving
1628371,282,4.9,0.8,0.9,1.3,0.8,7.5,0.442,0.321,0.746,Jonathan Isaac
1631093,181,3.7,4.4,0.8,0.4,2.9,16.1,0.429,0.352,0.746,Jaden Ivey
1641713,79,3.7,1.1,0.5,0.4,1.2,11.6,0.412,0.349,0.744,GG Jackson
1630543,170,4.3,0.7,0.5,1.3,0.8,7.1,0.59,0.206,0.679,Isaiah Jackson
1631245,44,1.6,1.9,0.7,0.2,0.6,6.2,0.485,0.349,0.773,Quenton Jackson
202704,1060,2.9,4.2,0.7,0.1,1.8,12.3,0.423,0.343,0.853,Reggie Jackson
1641748,126,2.3,1.1,0.4,0.2,0.7,2.8,0.485,0.385,0.571,Andre Jackson Jr.
1628991,414,5.5,1.5,1.0,1.9,1.9,18.5,0.467,0.351,0.792,Jaren Jackson Jr.
1631218,133,4.9,1.4,0.4,0.9,0.7,7.2,0.639,0.0,0.576,Trayce Jackson-Davis
1642355,31,0.7,0.9,0.4,0.1,0.5,2.1,0.297,0.265,0.786,Bronny James
2544,1562,7.5,7.4,1.5,0.7,3.5,27.0,0.506,0.349,0.737,LeBron James
1631170,147,4.2,2.6,1.0,0.2,1.5,10.7,0.487,0.316,0.786,Jaime Jaquez Jr.
1629610,142,2.1,0.8,0.4,0.3,0.5,4.5,0.415,0.312,0.796,DaQuan Jeffries
1641998,127,3.8,0.7,0.3,0.7,0.9,4.2,0.552,,0.586,Trey Jemison III
1642450,11,0.2,0.8,0.4,0.0,0.5,1.9,0.4,0.3,0.5,Daniss Jenkins
1629660,229,2.0,2.8,0.7,0.1,1.0,8.7,0.458,0.381,0.85,Ty Jerome
1630198,323,2.0,1.1,0.5,0.1,0.5,7.6,0.432,0.402,0.834,Isaiah Joe
1642358,62,1.9,2.5,0.4,0.1,1.1,7.1,0.383,0.267,0.865,AJ Johnson
1629661,387,4.0,1.9,0.9,0.3,0.9,13.1,0.455,0.392,0.85,Cameron Johnson
1630552,190,6.4,2.6,0.9,0.6,1.4,11.3,0.508,0.318,0.719,Jalen Johnson
201949,907,3.5,2.1,0.8,0.8,1.3,7.4,0.471,0.299,0.671,James Johnson
1629640,376,5.4,2.1,0.7,0.2,1.3,15.5,0.469,0.353,0.761,Keldon Johnson
1630553,198,2.6,2.0,0.8,0.3,1.3,8.0,0.375,0.327,0.772,Keon Johnson
1642352,18,1.7,0.2,0.3,0.2,0.2,2.8,0.636,0.4,0.444,Keshad Johnson
203999,750,11.0,7.2,1.3,0.7,2.9,21.7,0.56,0.358,0.824,Nikola Jokić
1641732,109,2.0,1.0,0.5,0.3,0.5,3.5,0.443,0.279,0.642,Colby Jones
1641794,54,2.2,1.1,0.3,0.1,0.5,2.5,0.383,0.254,0.607,Dillon Jones
1630529,246,3.8,2.5,1.6,0.7,1.3,10.1,0.475,0.369,0.823,Herbert Jones
1642403,43,1.4,0.3,0.1,0.2,0.4,3.2,0.647,0.333,0.632,Isaac Jones
1630539,147,2.6,0.5,0.3,0.5,0.5,3.9,0.71,0.226,0.694,Kai Jones
1630222,83,1.6,1.3,0.2,0.0,0.7,4.7,0.425,0.344,0.647,Mason Jones
1642461,24,0.8,0.2,0.3,0.2,0.4,1.2,0.324,0.053,1.0,Spencer Jones
1630200,349,2.8,4.6,0.9,0.1,1.1,8.3,0.493,0.325,0.838,Tre Jones
1626145,689,2.0,4.4,1.0,0.1,0.8,7.6,0.445,0.376,0.821,Tyus Jones
1627884,522,3.2,0.7,0.7,0.6,0.6,7.1,0.507,0.325,0.704,Derrick Jones Jr.
201599,1230,9.7,1.0,0.5,1.4,1.3,8.5,0.671,0.154,0.49,DeAndre Jordan
202709,929,2.4,2.9,0.7,0.2,1.0,6.8,0.443,0.349,0.788,Cory Joseph
1631107,113,3.8,2.2,0.6,0.3,1.1,8.7,0.447,0.37,0.802,Nikola Jović
1630548,105,2.5,0.9,0.4,0.1,0.5,7.7,0.42,0.363,0.795,Johnny Juzang
1642530,22,0.5,0.9,0.1,0.0,0.2,1.6,0.367,0.304,0.778,Yuki Kawamura
1630283,22,3.5,0.5,0.1,0.3,0.4,3.1,0.636,,0.6,Kylor Kelley
1628379,526,2.8,2.2,0.5,0.1,1.0,9.7,0.461,0.445,0.886,Luke Kennard
1631117,201,9.3,1.2,0.5,2.4,1.1,9.5,0.681,0.266,0.545,Walker Kessler
1630296,48,2.5,0.6,0.5,0.5,0.5,3.9,0.446,0.292,0.595,Braxton Key
1630557,298,2.8,1.5,0.5,0.2,0.9,11.0,0.474,0.381,0.801,Corey Kispert
1628467,440,4.4,1.2,0.4,0.9,0.7,6.4,0.443,0.354,0.776,Maxi Kleber
